SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	101716	84456
1	1101	2146	2060
2	1101	899	853
3	1101	1507	1430
4	1101	1831	1762
5	1101	3389	3248
6	1101	4972	4732
7	1101	1637	1549
8	1101	733	696
9	1101	1489	1431
10	1101	3528	3375
11	1101	9274	8840
12	1101	268	254
13	1101	32588	30974
14	1101	15052	14490
15	1101	1699	1640
16	1101	1816	1730
17	1101	1879	1791
18	1101	1963	1871
19	1101	949	902
20	1101	2039	1951
21	1101	2131	2017
22	1101	599	577
23	1101	722	687
24	1101	1844	1757
25	1101	20240	19183
26	1101	7770	7391
27	1101	2696	2556
28	1101	1891	1787
29	1101	1971	1877
30	1101	2306	2194
31	1101	341	322
32	1101	1950	1867
33	1101	947	903
34	1101	7	7
35	1101	14	14
36	1101	1	1
37	1101	9743	9301
38	1101	9456	8929
39	1101	2107	2029
40	1101	3436	3298
41	1101	6280	6015
42	1101	3026	2873
43	1101	1515	1427
44	1101	1235	1175
45	1101	1852	1772
46	1101	7034	6699
47	1101	3479	3304
48	1101	808	768
49	1101	16745	15846
50	1101	10703	10167
51	1101	11650	11125
52	1101	7441	7089
53	1101	3086	2907
54	1101	913	852
55	1101	945	896
56	1101	3357	3209
57	1101	2983	2813
58	1101	389	365
59	1101	1575	1502
60	1101	2190	2084
61	1101	35354	33687
62	1101	15807	14981
63	1101	7406	7042
64	1101	2886	2732
65	1101	3218	3047
66	1101	2853	2710
67	1101	2178	2065
68	1101	2602	2475
69	1101	3247	3109
70	1101	70	63
71	1101	40	38
72	1101	15	14
0	1102	102701	85746
1	1102	2219	2128
2	1102	923	877
3	1102	1555	1473
4	1102	1876	1778
5	1102	3312	3171
6	1102	5055	4842
7	1102	1632	1553
8	1102	718	674
9	1102	1507	1437
10	1102	3506	3357
11	1102	9508	9008
12	1102	276	264
13	1102	33254	31528
14	1102	15037	14470
15	1102	1711	1636
16	1102	1744	1656
17	1102	1983	1886
18	1102	1930	1835
19	1102	932	887
20	1102	1940	1844
21	1102	2123	2019
22	1102	593	557
23	1102	756	714
24	1102	1906	1811
25	1102	20344	19210
26	1102	7914	7505
27	1102	2669	2523
28	1102	1942	1843
29	1102	2030	1937
30	1102	2329	2219
31	1102	378	362
32	1102	2030	1923
33	1102	958	909
34	1102	10	10
35	1102	8	7
36	1102	1	1
37	1102	9990	9523
38	1102	9507	9016
39	1102	2184	2079
40	1102	3604	3439
41	1102	6257	5982
42	1102	3004	2854
43	1102	1538	1459
44	1102	1272	1209
45	1102	1857	1787
46	1102	7196	6835
47	1102	3543	3350
48	1102	905	861
49	1102	16854	15902
50	1102	10886	10355
51	1102	11536	11022
52	1102	7703	7332
53	1102	3089	2943
54	1102	953	888
55	1102	975	919
56	1102	3310	3165
57	1102	3076	2917
58	1102	361	348
59	1102	1572	1502
60	1102	2252	2138
61	1102	35643	33900
62	1102	16077	15224
63	1102	7255	6880
64	1102	3108	2950
65	1102	3271	3084
66	1102	2965	2834
67	1102	2217	2121
68	1102	2661	2518
69	1102	3437	3269
